NFL_PlayID,game_id,home_team,away_team,OffensiveTeam,OffensiveTeam_type,DefensiveTeam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,Team Drive,Scoring Play,qtr,down,goal_to_go,Game time (MM:SS:00),yrdln,ydstogo,Yards gained on Drive,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,Expected Points,Win Probability,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,receiver_player_name,rusher_player_name,lateral_receiver_player_name,lateral_rusher_player_name,lateral_sack_player_name,interception_player_name,lateral_interception_player_name,punt_returner_player_name,lateral_punt_returner_player_name,kickoff_returner_player_name,lateral_kickoff_returner_player_name,punter_player_name,kicker_player_name,own_kickoff_recovery_player_name,blocked_player_name,tackle_for_loss_1_player_name,tackle_for_loss_2_player_name,qb_hit_1_player_name,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_name,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_name,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
313,2018090900,BAL,BUF,BAL,home,BUF,BUF,15,9/9/2018,604,1504,3304,Half1,0,1,0,1,2,0,12/30/1899 10:04:00 AM,BUF 15,5,80,(10:04) J.Flacco pass short middle to N.Boyle to BUF 11 for 4 yards (J.Poyer) [S.Lawson].,pass,4,0,0,1,0,0,0,short,middle,4,0,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,4.319093080,0.624485484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,J.Flacco,N.Boyle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S.Lawson,NA,NA,NA,NA,NA,BUF,NA,J.Poyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
337,2018090900,BAL,BUF,BAL,home,BUF,BUF,11,9/9/2018,564,1464,3264,Half1,0,1,0,1,3,0,12/30/1899 9:24:00 AM,BUF 11,1,80,(9:24) J.Flacco up the middle to BUF 8 for 3 yards (K.Williams).,run,3,0,0,0,0,0,0,NA,NA,,,middle,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,4.218394890,0.622148838,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,J.Flacco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,NA,K.Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
358,2018090900,BAL,BUF,BAL,home,BUF,BUF,8,9/9/2018,529,1429,3229,Half1,0,1,1,1,1,1,12/30/1899 8:49:00 AM,BUF 8,8,80,"(8:49) A.Collins up the middle for 8 yards, TOUCHDOWN.",run,8,0,0,0,0,0,0,NA,NA,,,middle,NA,NA,,NA,NA,3,3,0,NA,BAL,3,3,6,0,0,0,0,6,0,6,5.313460833,0.661421536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,A.Collins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
380,2018090900,BAL,BUF,BAL,home,BUF,BUF,15,9/9/2018,522,1422,3222,Half1,0,1,1,1,NA,0,12/30/1899 8:42:00 AM,BUF 15,0,80,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",extra_point,0,0,0,0,0,0,0,NA,NA,,,NA,NA,NA,33,good,NA,3,3,0,NA,NA,3,3,7,0,6,0,6,7,0,7,0.931114950,0.717227946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.Tucker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
400,2018090900,BAL,BUF,BUF,away,BAL,BAL,35,9/9/2018,522,1422,3222,Half1,0,2,0,1,NA,0,12/30/1899 8:42:00 AM,BAL 35,0,-4,J.Tucker kicks 61 yards from BAL 35 to BUF 4. M.Murphy to BUF 32 for 28 yards (C.Board).,kickoff,0,0,0,0,0,0,0,NA,NA,,,NA,NA,NA,61,NA,NA,3,3,0,NA,NA,3,3,7,0,0,7,-7,0,7,-7,0.923941305,0.296875769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M.Murphy,NA,NA,J.Tucker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAL,NA,C.Board,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,28,NA,NA,,0,NA,NA,0,0,0,0
423,2018090900,BAL,BUF,BUF,away,BAL,BUF,68,9/9/2018,518,1418,3218,Half1,0,2,0,1,1,0,12/30/1899 8:38:00 AM,BUF 32,10,-4,(8:38) (Shotgun) L.McCoy left guard to BUF 31 for -1 yards (T.Suggs).,run,-1,1,0,0,0,0,0,NA,NA,,,left,guard,NA,,NA,NA,3,3,0,NA,NA,3,3,7,0,0,7,-7,0,7,-7,1.578648819,0.318674857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,L.McCoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.Suggs,NA,NA,NA,NA,NA,NA,NA,BAL,NA,T.Suggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
444,2018090900,BAL,BUF,BUF,away,BAL,BUF,69,9/9/2018,496,1396,3196,Half1,0,2,0,1,2,0,12/30/1899 8:16:00 AM,BUF 31,11,-4,"(8:16) (No Huddle, Shotgun) N.Peterman pass incomplete short left to L.McCoy.",pass,0,1,1,1,0,0,0,short,left,-8,,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,7,0,0,7,-7,0,7,-7,0.705368254,0.290371754,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N.Peterman,L.McCoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
466,2018090900,BAL,BUF,BUF,away,BAL,BUF,69,9/9/2018,492,1392,3192,Half1,0,2,0,1,3,0,12/30/1899 8:12:00 AM,BUF 31,11,-4,(8:12) (Shotgun) N.Peterman sacked at BUF 28 for -3 yards (T.Young).,pass,-3,1,0,1,0,0,0,NA,NA,,,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,7,0,0,7,-7,0,7,-7,-0.316416573,0.258401968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N.Peterman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.Young,NA,T.Young,NA,NA,NA,NA,NA,BAL,NA,T.Young,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
485,2018090900,BAL,BUF,BUF,away,BAL,BUF,72,9/9/2018,445,1345,3145,Half1,0,2,0,1,4,0,12/30/1899 7:25:00 AM,BUF 28,14,-4,"(7:25) (Punt formation) C.Bojorquez punts 46 yards to BAL 26, Center-R.Ferguson. J.Grant to BAL 25 for -1 yards (P.DiMarco).",punt,0,0,0,0,0,0,0,NA,NA,,,NA,NA,NA,46,NA,NA,3,3,0,NA,NA,3,3,7,0,0,7,-7,0,7,-7,-2.136903527,0.208996702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,J.Grant,NA,NA,NA,C.Bojorquez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,NA,P.DiMarco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAL,-1,NA,NA,,0,NA,NA,0,0,0,0
510,2018090900,BAL,BUF,BAL,home,BUF,BAL,75,9/9/2018,433,1333,3133,Half1,0,3,0,1,1,0,12/30/1899 7:13:00 AM,BAL 25,10,1,(7:13) J.Brown right end pushed ob at BAL 26 for 1 yard (P.Gaines).,run,1,0,0,0,0,0,0,NA,NA,,,right,end,NA,,NA,NA,3,3,0,NA,NA,3,3,7,0,7,0,7,7,0,7,0.947865009,0.752116856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,J.Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,NA,P.Gaines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
